id,name,age,salary
1,Eve,50,120000
2,Diana,58,75000
3,Eve,31,50000
4,Alice,42,
5,Alice,52,
6,Bob,31,120000
7,Alice,56,50000
8,Alice,47,75000
9,Eve,44,50000
10,Alice,58,50000
11,Eve,37,N/A
12,Charlie,33,50000
13,Alice,24,
14,Alice,42,
15,Alice,52,50000
16,Diana,28,N/A
17,Bob,49,50000
18,Diana,34,N/A
19,Charlie,48,
20,Alice,41,75000
21,Alice,59,75000
22,Charlie,46,75000
23,Eve,59,75000
24,Diana,26,N/A
25,Alice,55,75000
26,Charlie,40,75000
27,Bob,32,75000
28,Charlie,51,75000
29,Diana,41,120000
30,Charlie,56,
31,Eve,41,75000
32,Diana,56,N/A
33,Charlie,26,N/A
34,Bob,59,
35,Charlie,55,
36,Charlie,37,N/A
37,Alice,33,50000
38,Alice,46,
39,Alice,29,120000
40,Eve,51,75000
41,Diana,55,
42,Eve,36,75000
43,Eve,51,50000
44,Bob,28,
45,Eve,26,50000
46,Eve,51,120000
47,Bob,58,75000
48,Alice,31,120000
49,Eve,31,
50,Alice,33,
51,Diana,58,N/A
52,Bob,58,75000
53,Charlie,49,50000
54,Bob,21,
55,Eve,48,50000
56,Bob,21,120000
57,Alice,44,50000
58,Diana,22,
59,Eve,22,120000
60,Diana,26,75000
61,Bob,22,75000
62,Diana,28,120000
63,Charlie,22,N/A
64,Alice,28,
65,Diana,54,120000
66,Bob,42,75000
67,Charlie,56,120000
68,Alice,26,50000
69,Eve,22,120000
70,Bob,24,
71,Bob,53,N/A
72,Alice,27,N/A
73,Eve,45,120000
74,Eve,47,
75,Alice,39,120000
76,Eve,24,75000
77,Charlie,40,75000
78,Diana,24,75000
79,Diana,48,75000
80,Eve,35,120000
81,Charlie,54,N/A
82,Charlie,55,
83,Charlie,55,N/A
84,test,36,N/A
85,Charlie,43,
86,Eve,44,50000
87,Bob,33,
88,Diana,21,N/A
89,Eve,29,75000
90,Diana,55,50000
91,Charlie,54,50000
92,Charlie,31,120000
93,Bob,22,120000
94,Alice,56,N/A
95,Alice,60,50000
96,Bob,30,75000
97,Diana,53,50000
98,Charlie,20,
99,Charlie,41,50000
100,Diana,51,N/A
101,Eddy,50,15000
